,Date,sentiment_score,avg_sentiment,ticker,Open,High,Low,Close,Adj Close,Volume,month,day,is_quarter_end,predicted
2354,2019-01-02,0.7511988505747126,Positive,AAPL,41.740002,42.244999,41.482498,41.630001,40.246914,130672400.0,1,2,0,39.90776670638023
2355,2019-01-03,0.14269791666666667,Positive,AAPL,43.57,43.787498,43.2225,43.7425,42.470604,103544800.0,1,3,0,41.46343454970976
2356,2019-01-04,0.22658857142857144,Positive,AAPL,47.91,47.919998,47.095001,47.810001,46.419842,111448000.0,1,4,0,45.550961701458114
2357,2019-01-05,-0.9201,Negative,AAPL,52.470001,53.827499,52.307499,52.630001,51.099682,259309200.0,1,5,0,50.505060707689175
2359,2019-01-07,0.4886233333333333,Positive,AAPL,50.7925,51.122501,50.162498,50.387501,49.11079,109012000.0,1,0,0,48.32864235710175
2360,2019-01-08,0.7849642857142857,Positive,AAPL,53.474998,54.5075,51.685001,52.107498,50.787209,216071600.0,1,1,0,51.18249535730799
2362,2019-01-10,0.8556550724637682,Positive,AAPL,56.267502,57.055,56.049999,56.147499,54.932766,139223200.0,1,3,0,53.95600037487352
2363,2019-01-11,0.64413125,Positive,AAPL,62.384998,63.982498,62.290001,63.955002,62.571354,151125200.0,1,4,0,53.90081726135293
2366,2019-01-14,0.06022631578947369,Positive,AAPL,37.712502,37.817501,37.305,37.5,36.254131,129756800.0,1,0,0,35.55728594694034
2367,2019-01-15,0.853691011235955,Positive,AAPL,37.567501,38.3475,37.512501,38.267502,36.996128,114843600.0,1,1,0,35.86105290569544
2368,2019-01-16,0.7590692307692308,Positive,AAPL,38.27,38.970001,38.25,38.735001,37.448109,122278800.0,1,2,0,36.53116881964659
2369,2019-01-17,0.7364,Positive,AAPL,38.549999,39.415001,38.314999,38.965,37.67046,119284800.0,1,3,0,36.8926618409605
2370,2019-01-18,0.2419222222222222,Positive,AAPL,39.375,39.470001,38.994999,39.205002,37.902481,135004000.0,1,4,0,37.00416757552547
2374,2019-01-22,0.7225315789473684,Positive,AAPL,39.102501,39.182499,38.154999,38.325001,37.051727,121576000.0,1,1,0,36.8926618409605
